EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219382349915610,MATCHED,193,1784219382349915610,221,1784219382357544051,-7628441,-7.628441
1784219382383220836,MATCHED,194,1784219382383220836,222,1784219382393200806,-9979970,-9.979970
1784219382417042075,MATCHED,195,1784219382417042075,223,1784219382425761396,-8719321,-8.719321
1784219382448474562,MATCHED,196,1784219382448474562,224,1784219382457803566,-9329004,-9.329004
1784219382485338786,MATCHED,197,1784219382485338786,225,1784219382490786392,-5447606,-5.447606
1784219382515224327,MATCHED,198,1784219382515224327,226,1784219382526493591,-11269264,-11.269264
1784219382547384417,MATCHED,199,1784219382547384417,227,1784219382557809456,-10425039,-10.425039
1784219382580725457,MATCHED,200,1784219382580725457,228,1784219382590448841,-9723384,-9.723384
1784219382613561726,MATCHED,201,1784219382613561726,229,1784219382623402852,-9841126,-9.841126
1784219382647233670,MATCHED,202,1784219382647233670,230,1784219382656724248,-9490578,-9.490578
1784219382681090056,MATCHED,203,1784219382681090056,231,1784219382689924756,-8834700,-8.834700
1784219382713979546,MATCHED,204,1784219382713979546,232,1784219382723286410,-9306864,-9.306864
1784219382747309642,MATCHED,205,1784219382747309642,233,1784219382756686767,-9377125,-9.377125
1784219382781124732,MATCHED,206,1784219382781124732,234,1784219382790040644,-8915912,-8.915912
1784219382813929464,MATCHED,207,1784219382813929464,235,1784219382824037882,-10108418,-10.108418
1784219382849947512,MATCHED,208,1784219382849947512,236,1784219382856969227,-7021715,-7.021715
1784219382880448417,MATCHED,209,1784219382880448417,237,1784219382890511935,-10063518,-10.063518
1784219382913309610,MATCHED,210,1784219382913309610,238,1784219382925864786,-12555176,-12.555176
1784219382947090442,MATCHED,211,1784219382947090442,239,1784219382957341334,-10250892,-10.250892
1784219382982015335,MATCHED,212,1784219382982015335,240,1784219383001460871,-19445536,-19.445536
1784219383014061816,MATCHED,213,1784219383014061816,241,1784219383024746245,-10684429,-10.684429
