row_index,camera,bounce_frame,clip_name,clip_path,status,decode_s,crop_s,write_s,total_s,updated_at
82,source,5019,bounce_5019_00082.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_5019_00082.mp4,ok,1.509000,0.000091,0.411076,1.920196,2026-05-28 21:56:38
82,sink,5019,bounce_5019_00082.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_5019_00082.mp4,ok,1.118711,0.000087,0.674983,1.793809,2026-05-28 21:56:40
82,hq,5019,bounce_5019_00082.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_5019_00082.mp4,ok,0.624763,0.000086,0.471634,1.096513,2026-05-28 21:56:41
85,source,5062,bounce_5062_00085.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_5062_00085.mp4,ok,0.251470,0.000084,0.382370,0.633951,2026-05-28 21:56:42
85,sink,5062,bounce_5062_00085.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_5062_00085.mp4,ok,0.316988,0.000072,0.316621,0.633708,2026-05-28 21:56:42
85,hq,5062,bounce_5062_00085.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_5062_00085.mp4,ok,0.492676,0.000090,1.746143,2.238939,2026-05-28 21:56:45
87,source,5167,bounce_5167_00087.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_5167_00087.mp4,ok,0.438345,0.000088,0.308027,0.746490,2026-05-28 21:56:45
87,sink,5167,bounce_5167_00087.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_5167_00087.mp4,ok,0.324867,0.000086,0.348589,0.673572,2026-05-28 21:56:46
87,hq,5167,bounce_5167_00087.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_5167_00087.mp4,ok,1.308206,0.000085,0.488303,1.796625,2026-05-28 21:56:48
93,source,5677,bounce_5677_00093.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_5677_00093.mp4,ok,1.681033,0.000093,0.334542,2.015697,2026-05-28 21:56:50
93,sink,5677,bounce_5677_00093.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_5677_00093.mp4,ok,1.179277,0.000086,0.672107,1.851498,2026-05-28 21:56:52
96,source,6540,bounce_6540_00096.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_6540_00096.mp4,ok,2.606131,0.000084,0.562733,3.168977,2026-05-28 21:56:55
96,sink,6540,bounce_6540_00096.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_6540_00096.mp4,ok,2.292051,0.000084,0.357399,2.649561,2026-05-28 21:56:58
